slug,module_id
mod-infection-prevention,dc011a45cf964d1e94f481b0e0ef291a
mod-post-abortion-care,f463550a62e34cf8ab9e0d009ebfbcd9
mod-hypertension,cf65540dfc84495f8b0989838c70ca90
mod-active-management-of-third-stage-labour,bc3552fbf01248d08b28603ee0f94808
mod-prolonged-labour,c0ec3c44ae6845a0b2f81724f3edff66
mod-post-partum-hemorrhage,c4d949440c4e4b17828bdbf86b7696ac
mod-manual-removal-of-placenta,b9d9955b73e1429997aa8d5bc02236e5
mod-maternal-sepsis,c2ada5772a1f418bbbbe28671e24ddb0
mod-neonatal-resuscitation,3a96411664bb415c93ae13686c23c707
mod-newborn-management,5a1ab947c8c44bbab82ff6b45ff2c47a
mod-female-genital-mutilation,33ce78b0a4b9413cbaeb8bb64401e7a2
mod-low-birth-weight,b94b9f3d16d64b8fa56d5fc9d1639438
mod-covid-19,894e9b8f336a4049bf0268e39b9e403c
mod-normal-labour-and-birth,f43eaea27d5e48f5bd05e644eae8e964
mod-care-of-the-sick-newborn,707ea024a6c84691895621c791490c00
mod-safe-abortion,a367e7516e0a45788645e81ecb040f57
mod-perinatal-mental-health,a4ba3920c4b0497a96b4e2390f07596a
mod-modern-contraception,b5049ecc8f424d29892ee2067deda8aa
mod-antenatal-care,77c309e4f5534cd78e6d460a6d3d92ff
mod-postnatal-care,a5a832ca90f44078b3cd0a1527d510e3
mod-gestational-diabetes-mellitus,f9dd5e3bf9a044b2bb689232e0561f01
