slug,resource_id
res-drug-ampicillin,674c7dffa86847c6881fb295a1ac02eb
res-drug-art-regimen,7c0e2bf0174c4a9bb4b267fce46f08c9
res-drug-cefazolin,2b0b14052be2467e8fb68e9ebdd23444
res-drug-erythromycin,c31ad141321346e0a183eeed1ac8ec91
res-drug-hepatitis-b-vaccine-hbv,4c9e874f43e14f56a182d3a7ff9798e4
res-drug-metronidazole,62df3dba6e35437d8bb1ea5adf8eebf0
res-drug-nevirapine,cd602b24132443608196ea19ac2f2c5a
res-drug-penicillin-g-benzylpenicillin,30a57d238ce34e71813d53af6a1db443
res-drug-post-exposure-prophylaxis-pep,095c6e399b6f4b31a4276113b4bdd2d4
res-drug-pre-exposure-prophylaxis-prep,4fb7ad4176e442a1859b7df47a33f6f0
res-drug-tenofovir,4f2089bff43c49c8b282d62c5a328a2c
res-drug-azithromycin,99f48043e0874c74be46878d87a266be
res-drug-diazepam,8a8e10966a354c34b6fdd7eb7fecc6b8
res-drug-diclofenac,d92dd6f5d74f4ba9b562039171d898ca
res-drug-doxycycline,992656a2792b4ec69a254c162f929a2e
res-drug-ergometrine,59c5ef5d008a4632853cea09c599092d
res-drug-gentamicin,8c0e58911ff449b6b3607bb0576ed30c
res-drug-ibuprofen,efc06badf25f44c7bc674ea78b96c168
res-drug-indomethacin,d4e0057111b54c45bcdea5074686afe5
res-drug-morphine,19a62708161b4bf7a437e0b29fbf8ff4
res-drug-oxytocin,6db8edbda48f46789d8456a6589ef00e
res-drug-paracetamol,0224f8c2fa17410a92b82706ffc10b9e
res-drug-pethidine,d6d7772d7a1a4c2d9c162300daa3b4aa
res-drug-tramadol,85f8a68b47614273aed2c4cac0dade52
res-drug-betamethasone,86546295510648239eede0cbb306a365
res-drug-calcium-gluconate,efdda464e4cb46e59e2f9ebcc837c3e4
res-drug-dexamethasone,056e2cdeb6fe43cdbc972fc1a2d75ffd
res-drug-hydralazine,46e249e349334e5c98d3a36031ec12b3
res-drug-labetalol,58c2835a6468423291278286c488c36b
