tag,slug,title,description,icon,content,language_id,region,content_type,created_by,cosmos_language_id,questions,level,standalone
action-card,res-action-card-respiratory-infections,Respiratory infections,Respiratory infections,78def7e5cec04629b8d54d9b0ec21d72,eeef734071fb409db06a4271e203a458,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-antibiotic-prophylaxis,Antibiotic Prophylaxis,Antibiotic Prophylaxis,80f7f50d32d947bb82747e85e523a479,bdbad362588641f98ac9cb6992e7205c,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-biomedical-waste-management,Bio–Medical Waste Management,Bio–Medical Waste Management,6e687cb4aede430e8981e27ba582565c,541b120bd265411b8d393a96469b0756,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-five-key-moments-for-hand-hygiene,Five key moments for hand hygiene,Five key moments for hand hygiene,4f1a9f433da242608a0f89e438646804,2c7cab0f7fb942bdbe7f214aa9d1c802,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-remote-anc-pnc-contacts,Remote ANC/PNC contacts,Remote ANC/PNC contacts,643472a65dc54da1bb68827162a61bed,5e173bfb3eeb4ece81b10679dcfb668b,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-cleaning-storage-and-housekeeping,"Cleaning, Storage and Housekeeping","Cleaning, Storage and Housekeeping",e68d5618baa94fdd95159662fd0364f6,fe49530ad7ab4823944a28ed38fa522f,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-mixing-alcohol-based-handrub,Mixing alcohol-based handrub,Mixing alcohol-based handrub,03128fb67a984f99aac2df94443d4aac,5c57014bcb2146fdbb93d3095a4050ca,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-mixing-chlorine-solution,Mixing chlorine solution,Mixing chlorine solution,b32199b8f98e4afca7e1fefd7dcc137a,26effaa4b17e40819bea929e006f519b,,africa,original,catalin@maternity.dk,,,,
procedure,res-procedure-nepal-housekeeping,Nepal - Housekeeping,Nepal - Housekeeping,b32199b8f98e4afca7e1fefd7dcc137a,60b94dec85404cbebe19d9d102980a96,,africa,original,katrine@maternity.dk,,,,
procedure,res-procedure-personal-protective-equipment-ppe,Personal Protective Equipment (PPE),Personal Protective Equipment (PPE),086791c8c55d4974a45919ffe4e29317,b7aaaa0e6dd042a08c16379bdd723f39,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-preparation-of-hypochlorite-solution,Preparation of hypochlorite solution,Preparation of hypochlorite solution,30249948e4ed47f5a804734b9ec2947a,5ae1b6542f85431f9874eb1557de6ee5,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-spill-management,Spill management,Spill management,9dd268572fcc4d3f9fbb055bbca656fc,dd70d4620a9e4d89b9e86768689d7309,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-sterilization,Sterilization,Sterilization,4dfcf90def8543c59da631475d237da9,5dd89e016fd54094b4da37c155b0aae6,,africa,original,neelam@maternity.dk,,,,
drug,res-drug-ampicillin,Ampicillin,Ampicillin,47c2d74a0c3d436ba7f06f3e47f78836,417f5baf3b9142f9951692fb1db69944,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-art-regimen,ART regimen,ART regimen,47c2d74a0c3d436ba7f06f3e47f78836,99e4fea76499475fae44b60abe68d608,,africa,original,neelam@maternity.dk,,,,
drug,res-drug-cefazolin,Cefazolin,Cefazolin,47c2d74a0c3d436ba7f06f3e47f78836,61ad75b778ae4215a13702d59d95d36c,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-erythromycin,Erythromycin,Erythromycin,47c2d74a0c3d436ba7f06f3e47f78836,338defbd81904b0e942b76660b792bba,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-hepatitis-b-vaccine-hbv,Hepatitis B Vaccine (HBV),Hepatitis B Vaccine (HBV),47c2d74a0c3d436ba7f06f3e47f78836,cd7872f05b24474190406ff73bd76154,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-metronidazole,Metronidazole,Metronidazole,47c2d74a0c3d436ba7f06f3e47f78836,74a700b3e2aa4ad1b65ba5b4ba9fcca8,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-nevirapine,Nevirapine,Nevirapine,47c2d74a0c3d436ba7f06f3e47f78836,2243d8b27f104aca8cf1b7e33c80a0c6,,africa,original,neelam@maternity.dk,,,,
drug,res-drug-penicillin-g-benzylpenicillin,Penicillin G (Benzylpenicillin),Penicillin G (Benzylpenicillin),47c2d74a0c3d436ba7f06f3e47f78836,ee136af3f38244d3b1bb23520c5d6e0d,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-post-exposure-prophylaxis-pep,Post Exposure Prophylaxis - PEP,Post Exposure Prophylaxis - PEP,47c2d74a0c3d436ba7f06f3e47f78836,8e96a784acbb4f9fab01d0c543f3bf22,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-pre-exposure-prophylaxis-prep,Pre exposure prophylaxis - PrEP,Pre exposure prophylaxis - PrEP,47c2d74a0c3d436ba7f06f3e47f78836,d05595763ab44e4fa2a29aca6c7e757a,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-tenofovir,Tenofovir,Tenofovir,47c2d74a0c3d436ba7f06f3e47f78836,25dba0a3c8814234bc80dfb93337f55b,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-post-abortion-care-definitions,Post Abortion Care_definitions,Post Abortion Care_definitions,be20909fd9dc4f6f8b1b8ae31455517b,32ef2b76e2694cda90efdc6e89d894f6,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-post-abortion-care-emergency-management,Post Abortion Care Emergency Management,Post Abortion Care Emergency Management,90dccef0af044b539a72b1dec39532d4,1a9e38f3c6494d99ae77144c13fc0869,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-emergency-referral-post-abortion-care,Emergency Referral - Post Abortion Care,Emergency Referral - Post Abortion Care,6f23f0f9f5974c96b45ff76edd70ec24,c9711936dcb24ebb97ffa8147670c8de,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-emergency-referral,Emergency Referral,Emergency Referral,6f23f0f9f5974c96b45ff76edd70ec24,88aedc4799194e0db42fb87db252a947,,africa,original,catalin@maternity.dk,,,,
action-card,res-action-card-post-abortion-care-following-management,Post Abortion Care Following Management,Post Abortion Care Following Management,ce96d0f2958d4eeea7da35f048575819,894f4c39793544f0bbb51ec6d9daeebb,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-glasgow-coma-scale,Glasgow Coma Scale,Glasgow Coma Scale,3e6042e5cedc436bbb3edf1bbb00d487,4969932c3603409bbb8f1971aa383686,,africa,original,katrine@maternity.dk,,,,
action-card,res-action-card-post-abortion-contraceptive-methods,Post abortion Contraceptive Methods,Post abortion Contraceptive Methods,24f75df3f7384b0c8e6463bf38aadcb5,4ed0a91c460a410c8fc0b8a3968722b3,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-post-procedure-care-and-follow-up,Post-Procedure Care and Follow-up,Post-Procedure Care and Follow-up,c599044e802d4f05b57ad057ea64d026,c40b462556fa4e9e8f72cd3bb784c9fa,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-cleaning-manual-vacuum-aspirator,Cleaning manual vacuum aspirator,Cleaning manual vacuum aspirator,26440dcfb61f4fdfbe13742dc7edf1b7,8ff4aed82d214465b93a5b2c953ded33,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-intracervical-block,Intracervical block,Intracervical block,ce96d0f2958d4eeea7da35f048575819,48d06050ba9b494cab70bb6006f8ae0f,,africa,original,katrine@maternity.dk,,,,
procedure,res-procedure-intravenous-access-adult-ind,Intravenous access – Adult (IND),Intravenous access – Adult (IND),a36d48b1f2424df0aa0e2ca9493f5002,6005be16485f46e89ffd7c53a96abd50,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-urinary-catheter-old,Urinary Catheter (old),Urinary Catheter (old),8ead1c2290c04f92ac1cf12b0a629894,a7656dee72bf4e93b6e504f98f80b0c6,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-urine-catheter,Urine catheter,Urine catheter,8ead1c2290c04f92ac1cf12b0a629894,9b7653e48a744776a5084af33480bc0d,,africa,original,natalia@maternity.dk,,,,
drug,res-drug-azithromycin,Azithromycin,Azithromycin,d0013d62fea84024ba27b4a9a1bf78c6,0c07e1862a564dd5b5e9e151033b6560,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-diazepam,Diazepam,Diazepam,d0013d62fea84024ba27b4a9a1bf78c6,553a07c58cc04dbf9b99d9bab7764a80,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-diclofenac,Diclofenac,Diclofenac,d0013d62fea84024ba27b4a9a1bf78c6,8c9b89e8ffb041e9b425c9b5aa11871d,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-doxycycline,Doxycycline,Doxycycline,d0013d62fea84024ba27b4a9a1bf78c6,e97018703b814e6f861757c1c1dd3368,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-ergometrine,Ergometrine,Ergometrine,d0013d62fea84024ba27b4a9a1bf78c6,0fc4a888e9c74f51b424fd7fc28eb891,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-gentamicin,Gentamicin,Gentamicin,d0013d62fea84024ba27b4a9a1bf78c6,b2167a1da3b343e684ed194017e34c7d,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-ibuprofen,Ibuprofen,Ibuprofen,d0013d62fea84024ba27b4a9a1bf78c6,a049f8987ce244539849cd2a0b1d75cb,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-indomethacin,Indomethacin,Indomethacin,d0013d62fea84024ba27b4a9a1bf78c6,19bb2d16ba5a49bcaaa084c298501774,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-morphine,Morphine,Morphine,d0013d62fea84024ba27b4a9a1bf78c6,1779c277ebaa4bf4a02582e06e90df53,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-oxytocin,Oxytocin,Oxytocin,d0013d62fea84024ba27b4a9a1bf78c6,6b90bfcb60d14b79a4c1b55c24de68bf,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-paracetamol,Paracetamol,Paracetamol,d0013d62fea84024ba27b4a9a1bf78c6,df582b51058c490abf4864349e1a8eb1,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-pethidine,Pethidine,Pethidine,d0013d62fea84024ba27b4a9a1bf78c6,51f711234e4d4725b532b470c7b7109f,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-tramadol,Tramadol,Tramadol,d0013d62fea84024ba27b4a9a1bf78c6,bef9d593bbfb43b4b1a06f7966924b4d,,africa,original,katrine@maternity.dk,,,,
action-card,res-action-card-antenatal-corticosteroid-therapy,Antenatal corticosteroid therapy,Antenatal corticosteroid therapy,3a07543f3d4340599232989b7808a944,01248c8ec8064f80a3de235f50c84a18,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-hypertension-definitions,Hypertension Definitions,Hypertension Definitions,22e4ecc6000b4df3a316c0289063c6d8,f3c7bd88f9084ec48e1d717a6e9b1cd6,,africa,original,juliemollar@maternity.dk,,,,
action-card,res-action-card-emergency-referral-hypertension,Emergency Referral - Hypertension,Emergency Referral - Hypertension,6f23f0f9f5974c96b45ff76edd70ec24,6fc3f3feaf934adcbbd1c475fc8c8af0,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-hms-pe-e-action-plans,HMS PE&E - Action Plans,HMS PE&E - Action Plans,5bcdca834b4c40c4983ee43332e8fb80,5478e3fe91a742eab828d928defd2e6c,,africa,original,katrine@maternity.dk,,,,
action-card,res-action-card-hypertension-definitions-new-2025,Hypertension definitions (NEW 2025),Hypertension definitions (NEW 2025),22e4ecc6000b4df3a316c0289063c6d8,ad44277611164dcd8411bdd14e6e4342,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-hypertension-management-eclampsia-new,Hypertension Management Eclampsia NEW,Hypertension Management Eclampsia NEW,67cb9c62b66f4e06a3dc3b71e1db0468,1c19482456a14de890c9a8cbfcf0cac4,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-management-eclampsia-new-2025,Management Eclampsia (NEW 2025),Management Eclampsia (NEW 2025),67cb9c62b66f4e06a3dc3b71e1db0468,a32985d5d75643f79ca8df067a378f72,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-hypertension-management-eclampsia,Hypertension Management Eclampsia,Hypertension Management Eclampsia,67cb9c62b66f4e06a3dc3b71e1db0468,59818fbdb3494ebe86cdf7b8178ec962,,africa,original,annmarie@maternity.dk,,,,
action-card,res-action-card-management-hypertension-new-2025,Management Hypertension (NEW 2025),Management Hypertension (NEW 2025),8522fc3acc4942d7a8b37137e3dc3665,0df00b64ad3640d999ef0d59f5d59428,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-management-hypertension-new,Management Hypertension New,Management Hypertension New,8522fc3acc4942d7a8b37137e3dc3665,ec92a270eeae48ce9c7fd06c036a403e,,africa,original,juliemollar@maternity.dk,,,,
action-card,res-action-card-hypertension-management-hypertension,Hypertension Management Hypertension,Hypertension Management Hypertension,8522fc3acc4942d7a8b37137e3dc3665,5dd2f85a06004630a4f21cc8cd3ade5b,,africa,original,juliemollar@maternity.dk,,,,
action-card,res-action-card-management-of-eclampsia-ind,Management of Eclampsia (IND),Management of Eclampsia (IND),67cb9c62b66f4e06a3dc3b71e1db0468,d2974a435cdb43e797cc7f619162e31b,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-mnemonics-severe-preeclampsia,Mnemonics - Severe Preeclampsia,Mnemonics - Severe Preeclampsia,61e84aeeee9b41aa9236ea692b26f84c,d399b82c59f44fcd9e203fabc1aa7919,,africa,original,catalin@maternity.dk,,,,
action-card,res-action-card-pee-ldhf-practice-sessions,PEE LDHF Practice Sessions,PEE LDHF Practice Sessions,bd9470d86cf041069b7a2047f08b5051,e7d79438516747ad84f369529751d12d,,africa,original,sarah@maternity.dk,,,,
action-card,res-action-card-pee-session-answers,PEE Session Answers,PEE Session Answers,5aae96e111f2435f8ec75b59fbc341fc,8c9ff5c1c9dc4d28a138f21405420f60,,africa,original,sarah@maternity.dk,,,,
procedure,res-procedure-follow-up-visits,Follow-up visits,Follow-up visits,61e84aeeee9b41aa9236ea692b26f84c,5b6e574da01e4f28bb160804da65ab5b,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-intramuscular-injection-im,Intramuscular Injection (IM),Intramuscular Injection (IM),d3deded2487e4bd7b2bf4e73595e809f,83649fca4ff6472893952d868acaa2eb,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-intravenous-access-equipment-adult,Intravenous access equipment - Adult,Intravenous access equipment - Adult,d4838ece81314048b0fa310592377d8c,096e7f91c20d407586942fe18f4437d6,,africa,original,natalia@maternity.dk,,,,
drug,res-drug-betamethasone,Betamethasone,Betamethasone,665ebeff152d413bb84f53bcdbb3b3de,b7ae487a1b8747539b367fbb4f0ea82a,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-calcium-gluconate,Calcium Gluconate,Calcium Gluconate,665ebeff152d413bb84f53bcdbb3b3de,b8910223ccec4081a835760b4580d9fe,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-dexamethasone,Dexamethasone,Dexamethasone,665ebeff152d413bb84f53bcdbb3b3de,66fff4c62f814825a4f07111d8467d74,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-hydralazine,Hydralazine,Hydralazine,665ebeff152d413bb84f53bcdbb3b3de,9e7c18b5a70a4c25992e04da0934b3e7,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-labetalol,Labetalol,Labetalol,665ebeff152d413bb84f53bcdbb3b3de,10654253709945ecbc782e31423db5b6,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-lidocaine,Lidocaine,Lidocaine,665ebeff152d413bb84f53bcdbb3b3de,98adb74727a042f39a32d817ce402b75,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-magnesium-sulphate,Magnesium Sulphate,Magnesium Sulphate,665ebeff152d413bb84f53bcdbb3b3de,154094b622444b448410b3f2e618e3c9,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-methyldopa,Methyldopa,Methyldopa,665ebeff152d413bb84f53bcdbb3b3de,af8f2541f0a04262bbdc85ea96a58082,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-nicardipine-loxen,Nicardipine (Loxen),Nicardipine (Loxen),665ebeff152d413bb84f53bcdbb3b3de,54ecbe38325f4cdeac25c6ff1e614163,,africa,original,katrine@maternity.dk,,,,
drug,res-drug-nifedipine,Nifedipine,Nifedipine,665ebeff152d413bb84f53bcdbb3b3de,c49680d709ba4d90b83512b1fd3fcd56,,africa,original,frederikke@maternity.dk,,,,
action-card,res-action-card-emergency-referral-manual-removal-of-placenta-ind,Emergency Referral - Manual Removal of Placenta (IND),Emergency Referral - Manual Removal of Placenta (IND),38cc46c77dfe4b119b252396b6783180,6f92449062994ba59d7c65503a06c056,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-essential-steps-for-amtsl,Essential steps for AMTSL,Essential steps for AMTSL,04fb7cce6ee94e9d9d4d6dfd05585bca,c71b6ea6051d46fc87a676ec77d8baa0,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-essential-steps-for-active-management-of-third-stage-labour,Essential steps for Active Management Of Third Stage Labour,Essential steps for Active Management Of Third Stage Labour,04fb7cce6ee94e9d9d4d6dfd05585bca,3925a6a9ae3843caa27fc85d3c9f99e2,,africa,original,natalia@maternity.dk,,,,
