module_name,module_key,actionCards,procedures,videos,drugs,keyLearningPoints,total_resources
 Santé mentale périnatale,perinatal-mental-health_1669629618366,"risk-factorscauses_1669630689917, screening_1669630707621, perinatal-mental-health-conditions_1669630736165, infant-outcomes_1669630769791, violence-against-women_1669630810222","treatment-options_1670840222127, caring-for-the-carer_1670840245862, screening-tools_1669631309217","/french/Perinatal Mental Health/intro, /french/Perinatal Mental Health/risk_factors, /french/Perinatal Mental Health/barriers_to_seeking_care, /french/Perinatal Mental Health/diagnosis_symptoms, /french/Perinatal Mental Health/screening, /french/Perinatal Mental Health/prevention_and_treatment, /french/Perinatal Mental Health/medicatons, /french/Perinatal Mental Health/caring_for_the_carer",,"how-many-women-develop-a-mental-health-condition-during-the-perinatal-period_1671524376889, which-mental-health-condition-often-coexists-with-depression_1671525210118, what-is-the-strongest-predictor-of-a-woman-getting-perinatal-mental-health-conditions_1671525547260, symptoms-of-perinatal-mental-health-conditions-include-_1671525649046, when-should-you-screen-for-perinatal-mental-illness-_1671526112785, what-is-not-a-symptom-of-perinatal-depression-_1671526295166, what-are-the-two-different-categories-of-bipolar-disorder-_1671526655604, talking-therapycounselling-techniques-do-not-include-_1671526742095, unmanaged-maternal-depression-can-lead-to-long-term-cognitive-and-emotional-developmental-impairment-of-the-infant-true-or-false-_1671526830116, what-can-caring-for-women-and-families-with-perinatal-mental-health-conditions-lead-to-_1671526915151, puerperal-psychosis-usually-occurs-_1671527019703, how-many-partners-experience-postpartum-depression-or-anxiety-_1671527096440, what-causes-perinatal-mental-health-conditions-_1671527238709, what-are-known-risk-factors-of-developing-a-mental-health-condition-in-the-perinatal-period-_1671527491179, poverty-decreases-the-likelihood-of-women-experiencing-postpartum-depression-or-anxiety-true-or-false-_1671527596587, what-are-examples-of-useful-screening-tools-for-the-detection-of-perinatal-mental-health-conditions-_1671527699536, what-are-treatment-options-for-perinatal-depression-_1671527780237, the-provision-of-perinatal-mental-health-care-often-requires-_1671527889674, what-is-the-first-line-management-of-a-woman-who-has-screened-positive-for-perinatal-depression-_1671528072044, psychoeducation-includes-_1671528151713, what-are-not-symptoms-of-bipolar-disorder-_1671528255280, anxiety-disorders-are-a-group-of-related-conditions-that-include-_1671528369083, symptoms-of-puerperal-psychosis-include-the-rapid-onset-of-_1671528476434, infants-of-mothers-who-suffer-from-depression-have-higher-rates-of-_1671528643511, what-should-you-do-if-you-experience-negative-personal-consequences-of-caring-for-women-with-perinatal-mental-health-conditions-_1671528770971, people-with-schizophrenia-are-more-likely-to-_1671529160789, symptoms-of-general-anxiety-disorder-include-_1671529332144, people-with-anxiety-often-experience-_1671529404513, why-may-women-not-want-to-disclose-a-history-of-mental-health-conditions-_1671529488680, why-would-you-suspect-that-the-woman-has-depression-and-not-the-baby-blues-_1671529630018, talking-therapyempathetic-counselling-includes-_1671529750677, which-of-the-following-are-guiding-principles-for-clinicians-to-adapt-their-practice-into-trauma-informed-care-_1671529811310, what-percentage-of-the-population-suffer-from-schizophrenia-_1671529878693, cognitive-behavioural-therapy-cbt-aims-to-_1671529960645, put-these-three-action-principles-of-psychological-first-aid-in-the-correct-order-_1671530036631, high-levels-of-cortisol-in-the-blood-due-to-prolonged-maternal-anxiety-can-be-damaging-to-the-foetuss-_1671530135484",52
Contraceptifs modernes,modern-contraception_1676540153643,"contraceptive-counselling_1676540476331, sort-acting-methods_1676540711375, long-acting-methods_1676540490334, permanent-methods_1676626421305, breastfeeding-and-contraception_1708002246045","implant-insertion_1676541142349, implant-removal_1676541152319, iudius-insertion_1676541229560, iudius-removal_1676541174121","/french/Modern Contraceptives module/intro, /french/Modern Contraceptives module/counselling, /french/Modern Contraceptives module/contraceptive_methods, /french/Modern Contraceptives module/MEC, /french/Modern Contraceptives module/implant_insertion, /french/Modern Contraceptives module/implant_removal, /french/Modern Contraceptives module/IUD_insertion, /french/Modern Contraceptives module/IUD_removal","hormonal-intrauterine-device-ius_1687786254523, combined-contraceptive-patch_1687787466241, combined-oral-contraceptives_1687787604662, contraceptives-birth-control-pills_1487160933405, contraceptives-implant_1487161541780, contraceptives-injectable-depo-provera_1487162156904, contraceptives-intrauterine-device_1487162779128, contraceptives-overview_1487100979435, copper-intrauterine-device-iud_1687786030235, emergency-contraceptive-pills_1687788107959, implants_1687785610286, monthly-injectables_1687786873989, progesterone-only-pills_1687787911453, progestin-only-injectables_1687786511044","short-acting-contraceptives-can-be-used-over-short-and-longer-periods-of-time-_1676627092925, when-used-correctly-and-consistently-male-and-female-condoms-are-the-only-contraceptives-that-can-protect-against-sexually-transmitted-infections-_1676627104079, the-procedure-technique-of-inserting-an-implant-must-be-aseptic-true-or-false-_1676627583470, if-a-woman-needs-a-new-implant-after-having-one-removed-where-can-the-new-implant-be-inserted-_1676627629783, after-inserting-the-iudius-how-long-should-you-leave-the-strings-_1676627704649, a-woman-with-hiv-can-safely-get-an-implant-true-or-false-_1676627759887, when-used-consistently-and-correctly-male-condom-use-prevents-80-to-95-of-hiv-transmission-that-would-have-occurred-without-condoms-true-or-false-_1676627798791, combined-oral-contraception-contains-artificial-versions-of-which-naturally-occurring-hormones-_1676627838565, which-of-the-following-are-important-before-deciding-on-a-contraceptive-_1676627902331, what-is-important-for-providing-successful-counselling-_1676627995431, the-woman-should-take-one-contraceptive-pill-at-the-same-time-every-day-for-the-most-effective-protection-against-pregnancy-true-or-false-_1676628057281, what-type-of-checks-needs-to-be-done-before-inserting-an-intrauterine-device-iudius-_1676628106228, which-piece-of-equipment-is-not-needed-when-inserting-an-implant-_1676628172116, which-methods-are-categorised-as-long-acting-reversible-contraceptives-_1676628255039, when-does-a-woman-not-qualify-to-get-an-iud-_1676628355453, when-can-a-women-get-an-implant-_1676628432068, what-side-effects-can-women-expect-after-getting-a-hormonal-intrauterine-device-_1676628604762, what-should-you-recommend-the-woman-to-look-out-for-following-iudius-insertion-_1676628910467, when-the-women-come-back-for-routine-follow-up-after-inserting-iud-it-is-always-required-to-perform-a-pelvic-examination-true-or-false-_1676629152295, what-should-you-do-if-a-woman-requests-for-her-iud-to-be-removed-_1676629193860, when-is-it-recommended-to-have-a-follow-up-contact-after-intrauterine-device-iudius-insertion-_1676629265262, which-surgical-procedures-can-be-used-to-perform-tubal-ligation-_1676629389190, what-is-important-for-you-to-ask-the-woman-in-order-to-help-her-choose-the-right-contraception-for-her-_1676629538622, what-pain-relief-should-be-administered-before-inserting-a-contraceptive-implant-_1676629643547, what-type-of-checks-needs-to-be-done-before-inserting-an-intrauterine-device-iudius-_1676632462237, which-of-the-following-are-some-common-side-effects-of-the-hormonal-iud-_1676632596847, which-of-the-following-methods-lasts-the-longest-_1676632745956, how-does-the-vaginal-ring-prevent-pregnancy-_1676632845456, which-of-the-following-contraceptive-methods-do-not-have-any-delay-in-fertility-after-stoppingremoving-it-_1676632968802, from-the-moment-after-performing-vasectomy-no-contraception-is-needed-to-avoid-pregnancy-true-or-false-_1676633066993, place-these-steps-of-the-non-touch-technique-while-inserting-an-iud-in-the-correct-order-_1676633102048, which-side-effect-of-the-contraceptive-implant-is-the-most-common-_1676633173822, how-does-the-copper-iud-prevent-pregnancy-_1676633227076, when-can-the-women-take-an-emergency-conservative-pill-_1676633305353, which-statement-is-true-_1676633358940, what-is-the-medical-eligibility-criteria-wheel-used-for-_1676633449648",67
Soins prénatals,antenatal-care_1681981997823,"respectful-antenatal-care_1696493238645, nutrition-and-lifestyle_1695875701365, birth-and-emergency-plan_1696566889293, interventions-for-common-physiological-symptoms_1696567262737, violence-against-women-_1696568467142, significant-symptoms-of-antenatal-complications_1696568894140, threatened-preterm-labour_1696569397056","antenatal-care-checklist-_1696572320655, foetal-assessments_1696569981449, preventative-management-interventions_1697120176133, routine-maternal-screening-and-tests_1697121059112","/french/Antenatal care/intro, /french/Antenatal care/antenatal_care_schedule, /french/Antenatal care/respectful_maternity_care, /french/Antenatal care/first_contact_in_pregnancy, /french/Antenatal care/routine_antenatal_assessment_of_the_women, /french/Antenatal care/routine_antenatal_assessment_of_the_foetus, /french/Antenatal care/counselling","amoxicillin-_1506342553240, ampicillin_1486975748548, betamethasone_1487080183154, cefotaxime_1536653899716, ceftriaxone_1487080443380, cloxacillin_1510747764922, dexamethasone_1487101787771, dicloxacillin_1487103485964, erythromycin_1487108669256, flucloxacillin_1506342581433, gentamicin_1487679704293, penicillin-g-benzylpenicillin_1487157542019, calcium-supplementation_1699431482391, iron-and-folic-acid-supplementation_1699431493725, vitamin-a-supplementation_1699431509691, tetanus-vaccination_1699431521325, albendazole_1699431534088, sulfadoxine-pyrimethamine-iptp-sp_1699431560040, mebendazole_1699431547345, pre-exposure-prophylaxis---prep_1701156889602, nifedipine_1487151847555","number-of-antenatal-contacts_1699433449279, antenatal-record_1699433683776, respectful-maternity-care_1699947002198, first-contact-in-pregnancy_1699947271966, investigations-during-first-contact_1699947461729, preventive-recommendations-during-pregnancy_1699947598427, calcium-supplements-can-reduce-risk-of-pre-eclampsia_1699947714137, screening-for-pre-eclampsia_1699947862154, identification-of-woman-with-anemia_1699947957429, tocolytic-for-threatened-preterm-labour_1699948040019, screening-for-pre-eclampsia_1699948112077, screening-for-uti_1699948205907, screening-for-significant-symptoms-of-pregnancy-complications_1699948305571, listening-to-the-fetal-heart-sounds-_1699948387424, abdominal-palpation_1699948460448, recognition-of-signs-of-labour_1699948893325, management-of-anemia_1699949214472, gestational-diabetes-mellitus_1699949313905, nutrition-and-lifestyle-counselling_1699949409717, weight-gain-during-pregnancy_1699949508601, birth-and-emergency-plan_1699949592177, interventions-for-low-back-pain-and-pelvic-pain_1699949672179, interventions-for-constipation_1699950067003, interventions-for-leg-cramps_1699950198085, violence-against-women_1699951097824, identification-of-antepartum-hemorrhage_1699951246907, identification-of-venous-thromboembolism_1699951652602, foetal-assessment_1699951735571, which-of-the-following-foetal-heart-reading-indicate-foetal-asphyxia_1699951906398, malaria-prevention_1699952953751, pre-exposure-prophylaxis-for-hiv-prevention_1699953048985, preventative-anthelminthic-deworming-treatment_1699953115919, tetanus-toxoid-vaccination_1699953211343, nutritional-supplementation-and-interventions---ifa_1700396823281, nutritional-supplementation-and-interventions---ifa_1700397724994, what-is-the-risk-that-may-occur-if-the-foetus-is-cephalic-and-the-head-is-not-engaged_1701113780415, maternal-child-health-clinics-mch-_1730728689932",76
Soins postnatals,postnatal-care_1708335696684,"mother_1707392875937, newborn_1707484087588","pelvic-floor-muscle-exercises_1707916177442, breastfeeding_1707321718729","/french/Postnatal Care/intro, /french/Postnatal Care/postnatal_care_schedule, /french/Postnatal Care/initial_postnatal_assessment, /french/Postnatal Care/postnatal_care_counselling, /french/Postnatal Care/routine_postnatal_assessment_and_care, /french/Postnatal Care/postnatal_pain_management, /french/Postnatal Care/care_of_the_newborn, /french/Postnatal Care/routine_assessment_of_the_newborn, /french/Postnatal Care/newborn_care_counselling","ampicillin_1486975748548, bcg-vaccine-_1708342776189, ceftriaxone_1487080443380, cloxacillin_1510747764922, dtp-containing-vaccine-_1708343530011, gentamicin_1487679704293, gentian-violet-paint-_1708340420818, haemophilus-influenzae-type-b-vaccine-hib-vaccine-_1708343792490, hepatitis-b-vaccine-hbv-_1708343661372, oral-polio-vaccine-opv-_1708343038007, pneumococcal-conjugate-_1708343922630, rotavirus-vaccine-_1708344061677, vitamin-d_1708339629029","how-many-postnatal-care-visits-are-recommended-_1708338097739, when-is-the-woman-in-the-postnatal-period-_1708426438628, which-statements-are-true-regarding-partner-involvement-in-postnatal-care-_1708430570426, what-does-the-regular-assessments-of-the-mother-include-during-the-first-24-hours-after-birth_1708430664113, the-postnatal-woman-contacts-you-because-she-experiences-bleeding-after-birth-when-should-you-advise-her-to-go-to-the-hospital-_1708431210835, what-is-part-of-the-initial-postnatal-care-counselling_1708433312183, for-how-long-should-the-postnatal-woman-be-recommended-to-take-iron-in-anaemia-risk-settings-_1708433412906, what-kind-of-pain-relief-can-you-offer-the-woman-postpartum-for-perineal-pain_1708433540634, what-are-the-signs-of-postpartum-uterine-infection-_1708433641400, what-are-the-signs-of-thromboembolism_1708433758043, a-woman-comes-to-the-health-facility-with-dizziness-nausea-and-headache-three-days-postpartum-what-do-you-do-_1708434509039, what-statements-are-correct-regarding-disease-prevention-after-birth-_1708434621907, upon-discharge-when-should-you-tell-the-mother-to-react-and-contact-you-_1708434687399, which-screenings-are-recommended-for-all-newborns-upon-discharge_1708434992846, which-of-the-following-statements-on-breastfeeding-are-true_1708435604514, how-much-weight-should-the-newborn-gain-during-the-first-2-4-weeks-_1708435704014, what-is-true-regarding-newborn-weight-monitoring-_1708436407320, what-percentage-of-chlorhexidine-solution-should-you-apply-to-the-umbilical-cord-in-settings-where-harmful-cord-practices-are-done-_1708436546013, what-is-true-about-yellowing-of-the-skin-jaundice-in-the-newborn-_1708436847651, what-is-the-normal-body-temperature-for-a-newborn-_1708436962803, if-a-woman-experience-breast-engorgement-what-should-you-advise-her-to-do-to-prevent-mastitis-_1708437156156, which-statement-about-breastfeeding-is-false_1708936530265, what-can-be-the-cause-of-sore-and-cracked-nipples-_1708937645129, what-indicates-postnatal-perineal-traumainfection_1708937721413, what-is-true-about-postpartum-blues-_1708937836407, how-would-you-treat-anaemia-postpartum_1708948712736, what-is-important-to-ask-and-know-when-counselling-the-woman-on-postpartum-contraceptives-_1708950020663, which-contraceptive-methods-are-recommended-to-use-immediately-postpartum-if-the-woman-is-breastfeeding-_1708950346709, what-are-the-signs-of-an-effective-attachment-when-breastfeeding-_1708950498224, what-is-the-correct-order-for-how-to-treat-an-eye-infection-in-the-newborn-_1708950643620, what-is-true-about-hiv-infection-and-breastfeeding-_1708951024256, what-should-you-advice-and-support-the-woman-to-do-within-the-first-24-hours-after-birth-_1708951275859, what-questions-will-you-ask-a-postpartum-woman-during-the-routine-pnc-assessment_1708951398534, what-is-false-about-safe-sleep-for-the-newborn-_1708951986869, when-should-the-mother-alert-you-regarding-the-newborn-within-the-first-24-hours-of-birth_1708952123305, when-should-urine-output-be-checked-and-documented_1709890195495",62
COVID-19,covid-19_1585220085931,"antenatal-care-_1589191954840, checklist-1_1585909349728, checklist-2_1585909384918, postnatal-care_1589204113382","mixing-alcohol-based-handrub_1487245431108, minimize-the-spread-of-covid-19-at-the-health-facility_1585565621400, five-steps-to-beat-covid-19-_1585566132690, symptoms-of-covid-19_1585563347070, are-pregnant-women-an-at-risk-group-_1585563945580, vertical-transmission-and-newborn-risk-_1585564745051, care-during-pregnancy-and-birth_1585565133736, breastfeeding-and-covid-19_1585565364051, covid-19-vaccination-guidelines_1615295296720","/french/COVID-19/intro, /french/COVID-19/hand_hygiene, /french/COVID-19/procedure_for_handwash, /french/COVID-19/procedure_for_handrub, /french/COVID-19/how_to_apply_ppe, /french/COVID-19/how_to_remove_ppe",,"symptoms-of-covid-19_1585566325286, hand-hygiene-before-and-after-wearing-ppe_1585566612652, five-steps-to-beat-covid-19_1585566927795, breastfeeding-and-covid-19_1585567075194, ppe-and-covid-19_1585567250801, pregnant-women-at-risk-group_1585567435227, when-hand-hygiene_1585567541873, mode-of-delivery_1585567657138, care-during-birth_1585567787800, correct-order-ppe_1610437530201, correct-order-ppe---remove_1610438244585, ppe-for-different-patients_1610438745572, removing-rings-watches-etc_1610439419318, covid-19-transmission_1610440307685, receiving-a-woman_1610443422712, where-to-sneezecough_1610443963218, feeling-unwell_1610445386383, management-environment_1610445812764, temporarily-separated_1610446707798, right-to-quality-of-care_1610446936428, need-to-perform-hand-hygiene_1610447555689, symptoms-of-covid-19---anc-visits_1610449584822, pnc-remotely_1610450006093, number-of-anc-visits_1610457800238, preventing-transmission-to-newborn_1610458174176, prevent-spreading-at-health-care-facility_1610458481326, ppe-cleaning-from-covid-19_1610460219564, incubation-covid-19_1610460742382, women-and-companions---hand-hygiene_1610461893302, anc-remote-visits_1610462367813, hand-wash---how-long_1610462756574, handrub---how-long_1610463015475, ppe---important_1610463340398, remove-ppe---important-_1610463764797, corona-is_1610463960179, covid-19-postpartum-care_1610464509867, breastfeeding---covid-19-positive-mother_1610473659986",56
Prévention des infections,infection-prevention_1487676001934,,mixing-alcohol-based-handrub_1487245431108,"/french/Infection prevention/intro, /french/Infection prevention/hand_hygiene, /french/Infection prevention/procedure_for_handwash, /french/Infection prevention/procedure_for_handrub, /french/Infection prevention/personal_protective_equipment, /french/Infection prevention/cleaning_decontamination, /french/Infection prevention/storage, /french/Infection prevention/housekeeping, /french/Infection prevention/hiv_hepatitis_b_prevention",post-exposure-prophylaxis---pep_1490708337530,"prevent-infections_1497356424386, hand-hygiene-wash-and-alcohol_1497356912190, use-alcohol-based-handrub_1497357082394, soap-for-handwashing_1497357310306, personal-protective-equipment_1497357545527, gloves-for-different-patients_1497357682494, soap-solution_1497357821040, package-of-sterile-items_1497358040371, storage-of-sterile-items_1497358161852, cleaning-and-delivery-bed_1497358695244, recommended-vaccination_1497358858644, infections-and-maternal-death_1498119404097, infection-and-neonatal-death_1498119889065, infection-and-germs_1498122575522, healthcare-workers-hands_1498122780668, alcohol-most-effective_1498123474560, no-jewellery-on-hands_1498129645819, towel_1498130033393, when-hand-hygiene_1498130470830, order-of-cleaning-and-storage_1498131043643, disinfection-solution_1498131845883, spread-of-hiv-and-hep-b_1498132068449, when-hand-hygiene_1498206602602, wash-hands_1498466635307, procedure-for-handwashing_1498466869003, amount-of-handrub_1498468033321, product-in-alcohol-based-handrub_1498468332125, label-of-alcohol-based-handrub_1498468847400, removing-gloves_1498469162217, gloves-for-birth_1498469312963, high-risk-area_1498469624522, transmission-most-likely_1498469768452, action-if-exposed_1498469888180, soap-wet-container_1504268064997, air-dry-hands_1504268482403, product-in-alcohol-based-handrub-2_1511791111025",47
Avortement Sécurisé,safe-abortion_1644479689460,"abortion-counselling_1645532658170, pre-abortion-care-the-initial-assessment_1645526626190, laboratory-tests_1645526831430, contraception-following-abortion_1645526482433, cervical-preparation-before-surgical-abortion_1645526533858, treatment-regimens-for-medical-abortion-1-trimester_1645531984331, treatment-regimens-for-medical-abortion-2-trimester-_1645526989720, warning-signsabortion-complications_1645527039954, antibiotic-prophylaxis-for-surgical-and-medical-abortion_1647507966963, pain-management_1645526892726, overview-of-the-different-abortion-methods_1645526712792, telemedicine_1647951171095","physical-examination_1645527167872, dating-the-pregnancy_1645527134694, screening-tools_1669631309217","/french/Safe abortion/intro, /french/Safe abortion/pre_abortion_care, /french/Safe abortion/medical_abortion, /french/Safe abortion/surgical_abortion, /french/Safe abortion/abortion_complication, /french/Safe abortion/before_discharge","azithromycin_1647869114016, combi-packletrozole-misoprostol-medab-1-trimester-_1647595660523, combi-packmifepristone-misoprostol-medab-2-trimester_1647332808409, combi-packmifepristone-misoprostol-medab-1-trimester_1647332745906, doxycycline_1647869095132, diazepam_1487102080825, iron_1487110835869, ibuprofen_1490364323757, metronidazole_1487112262252, misoprostol-medab-1-trimester_1647332776222, misoprostol-surab_1647332853501, misoprostol-medab-2-trimester_1647332822025, morphine_1487151518002","maternal-death-and-disability_1644494130201, date-the-pregnancy_1644494142940, size-of-the-uterus_1644494157656, what-should-you-consider-if-the-uterus-is-smaller-than-expected_1644494186994, what-should-you-consider-if-the-uterus-is-larger-than-expected_1644494238189, what-is-true-about-mifepristone-used-at-a-medical-abortion_1644494248935, a-medical-abortion-can-be-performed-safely-at-home-if-the-gestational-age-is-below-9-weeks-true-or-false_1644494262210, which-of-the-following-danger-signs-can-occur-after-having-an-abortion-_1644494276007, what-is-true-about-misoprostol-used-at-a-medical-abortion_1644494297756, what-should-you-consider-if-the-woman-has-a-fever-during-a-medical-abortion_1644494307212, what-describes-the-procedure-of-vacuum-aspiration_1644494319758, if-antibiotics-are-not-available-you-should-not-perform-the-abortion-true-or-false_1644494332805, how-do-you-perform-cervical-preparation-before-a-surgical-abortion_1644494347196, what-is-important-to-consider-before-mva_1644494359646, how-do-you-ensure-a-complete-abortion-after-mva_1644494368844, when-should-you-consider-an-ectopic-pregnancy_1644494379670, what-are-common-signs-of-incomplete-abortion_1644494387694, what-are-the-options-for-management-of-incomplete-abortion-if-the-patient-is-stable-_1644494399515, what-can-haemorrhage-after-surgical-abortion-result-from_1644494414791, what-do-you-do-if-retained-products-of-conception-are-suspected-to-be-a-cause-for-infection_1644494426908, what-is-true-about-sepsis_1644494439587, what-information-is-important-to-give-to-the-woman-before-discharge_1644494449638, when-can-a-woman-leave-the-healthcare-facility-after-an-abortion-if-there-are-no-complications_1644494460220, should-you-recommend-a-follow-up-visit-to-a-woman-who-has-had-a-medical-abortion-with-misoprostol-alone_1644494472392, if-available-which-laboratory-tests-are-relevant-to-perform-before-an-abortion_1644494502539, which-methods-of-contraception-can-be-initiated-immediately-following-surgical-or-medical-abortion_1644494624066, what-non-pharmacological-methods-of-pain-management-should-you-as-a-health-provider-use_1644494632475, what-are-some-of-the-characteristics-of-vacuum-aspiration_1644494640646, which-of-the-following-are-common-signs-of-infection_1644494649759, what-should-the-woman-do-if-she-has-little-or-no-bleeding-1-2-days-after-taking-all-the-pills-for-a-medical-abortion_1644494660691, why-should-the-dose-of-misoprostol-be-reduced-as-the-gestational-age-advances-_1644494671361, neither-misoprostol-nor-mifepristone-will-treat-ectopic-pregnancy-true-or-false-_1644494681653, what-does-the-abortion-options-available-to-a-woman-depend-on_1644494691380, which-method-of-medical-abortion-is-the-most-effective_1644494702378, what-is-the-correct-order-of-the-following-steps-of-mva_1644494731757, what-is-the-safest-and-most-effective-surgical-technique-for-abortions-after-12-14-weeks_1644494743723",70
Soins post-avortement,post-abortion-care_1487676484604,"definitions_1486843717068, emergency-management_1486843944185, following-management_1486845338095, emergency-referral---post-abortion-care_1527679414998","cleaning-manual-vacuum-aspirator_1487245553833, urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/french/Post abortion care/intro, /french/Post abortion care/how_to_diagnose, /french/Post abortion care/how_to_manage, /french/Post abortion care/evacuation_of_the_uterus, /french/Post abortion care/manual_vacuum_aspiration","ampicillin_1486975748548, diazepam_1487102080825, gentamicin_1487679704293, ibuprofen_1490364323757, metronidazole_1487112262252, morphine_1487151518002, indomethacin_1487110102338","test-version_1498639439941, septic-abortion-_1504773307717, complication-to-unsafe-abortion_1504773499553, urine-test_1504773825842, complication-to-abortion_1504774087137, fever-and-septic-abortion_1504774293226, what-to-measure-_1504774413976, signs-of-septic-abortion_1504887365737, suspect-lower-abdominal-tenderness_1504887830839, septic-abortion-can-be-fatal_1504888032303, most-important-action-at-septic-abortion_1504889099044, action-at-septic-abortion_1504889244498, ab-and-evacuation-of-the-uterus_1504889778909, which-ab-to-give_1504889919542, urgent-management-_1504890132226, correct-order-of-actions_1504890487022, peritonitis_1504890766676, evacuation-of-the-uterus-_1504891033708, manual-vacuum-aspiration_1504891220598, uterus-size-in-week-12_1504891361270, preparation-for-mva_1504891579618, analgesic-for-mva_1504891713356, valves-closed_1504891839206, vacuum-to-mva-syringe_1504891916767, tenaculum_1504892022670, dilate-the-cervix_1504892212948, no-touch-technique_1504892332161, size-of-cannula-for-mva_1504893593707, insert-of-the-cannula_1504893750649, attachment-of-the-syringe_1504893864011, rotate-and-move-cannula-back-and-forth_1504893996349, end-of-suctioning_1504894096498, use-the-cannula-again_1504894223366, ab-after-mva_1504894299772, counselling_1504894423681, advise-before-dismission_1504894568322",55
Hypertension,hypertension_1487677992452,"definitions_1486814136250, management-hypertension-new_1597327534878, hypertension-management-eclampsia-new_1597393826594, emergency-referral---hypertension_1527674369336","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, follow-up-visits_1597146284166","/french/Hypertension/intro, /french/Hypertension/definitions, /french/Hypertension/causes, /french/Hypertension/how_to_diagnose, /french/Hypertension/management_of_hypertension, /french/Hypertension/severe_preeclampsia_eclampsia","calcium-gluconate_1490273124941, hydralazine_1487109388353, labetalol_1490625535572, magnesium-sulphate_1487111473832, methyldopa_1487111904464, dexamethasone_1487101787771, lidocaine_1494407526870, nifedipine_1487151847555","severe-preeclampsia_1498640805283, gestational-hypertension_1498725687229, bp-gestational-hypertension_1498725828989, preeclampsia_1498726056310, severely-elevated-blood-pressure_1498726396275, severe-headache_1498726747222, visual-disturbances_1498727185096, upper-abdominal-pain_1498727830882, respiratory-distress_1498728011726, oliguria_1498728193444, eclampsia_1498728592426, eclampsia-normal-blood-pressure_1498728833764, differential-diagnosis_1498728983703, causes-of-pre-eclampsia_1498729147494, anc-blood-pressure_1498729463504, confirm-bp_1498732684396, confirmed-elevated-bp_1498733012381, eclampsia-maternal-and-perinatal-death_1498733194577, keep-systolic-bp-below-160_1498733307152, keep-diastolic-bp-above-80_1498733486432, labetalol_1498733591134, methyldopa_1498733669777, iv-with-bp-above-160-_1498733752579, hydralazine_1498733943552, eclampsia-seizures_1498734086062, magnesium-sulphate-24-hours_1498734258534, severe-pre-eclampsia-or-eclampsia_1498734362115, hypertension-and-urine-catheter_1498735254202, eclampsia---monitor-12-hour_1498735362891, give-magnesium-sulphate_1498735437004, mix-magnesium-sulphate_1498735538053, toxicity_1498735622169, antidote-to-magnesium-sulphate_1498735735523, maintain-dose-magnesium-sulphate_1498735869673, refer-and-eclampsia_1498735994297, lung-maturity_1498736081492, proteinuria_1505054086730, cure-of-pre-eclampsia_1505055063577, maternal-death-and-pre-eclampsia_1505055560037, action-eclampsia_1505059069497, fluid-overload_1505059297071, calcium-gluconate_1505059639547",63
Travail et Accouchement Normaux,normal-labour-and-birth_1591261731571,,"initial-assessment_1591607594553, calculate-due-date-and-ga-_1591608714797, abdominal-examination-_1591608971713, foetal-heart-rate_1487245616159, vaginal-examination_1591619208367, monitoring-_1591619611932","/french/Normal labour and birth/intro, /french/Normal labour and birth/respectful_care, /french/Normal labour and birth/initial_assessment, /french/Normal labour and birth/1st_stage_latent_phase, /french/Normal labour and birth/1st_stage_active_phase, /french/Normal labour and birth/support, /french/Normal labour and birth/2nd_stage_cervix_fully_dilated, /french/Normal labour and birth/2nd_stage_delivering_the_baby","carbetocin_1551691910153, misoprostol_1487112562173, oxytocin_1487156988152","the-definition-of-a-normal-birth_1591262098315, a-child-born-in-week-36_1591262929871, start-of-a-spontaneous-normal-birth_1591263015279, what-is-respectful-care_1591263054900, fear-of-being-mistreated_1591263086625, -the-elements-of-true-respectful-care_1591263697768, the-first-thing-you-do_1591263789873, what-kind-of-danger-signs-should-be-examined_1591263871370, when-is-her-due-date_1591263922616, strong-contractions-5-6-minutes-apart_1591264352707, abdominal-examination_1591264446830, when-performing-a-ve_1591264522362, good-contractions-with-3-minutes-apart_1591264728966, the-documentation-on-the-partograph_1591264765702, the-labour-has-lasted-12-hours_1591264794611, help-the-woman-to-get-good-contractions_1591264824519, when-the-woman-wants-to-stand-up_1591264852797, the-woman-cannot-eat-or-drink-during-labour-and-birth_1591264872529, when-the-woman-is-in-an-upright-position_1591264988470, to-be-on-all-fours-and-give-birth_1591265006882, non-pharmacological-pain-relief_1591265044680, the-woman-can-push-when_1591265061690, what-needs-to-be-ready-for-the-birth_1591265072119, what-should-you-do-during-the-second-stage_1591265085908, how-would-you-help-the-woman-to-push_1591265236457, the-woman-can-give-birth-in-any-position-she-wants_1591265249333, what-kind-of-practices-should-not-be-performed_1591265261984, before-the-babys-head-is-about-to-be-born_1591265282391, when-the-babys-head-is-crowning_1591265293618, after-the-head-is-born_1591265308433, if-the-head-and-the-shoulders-are-not-born-in-one-contraction_1591265330908, if-you-feel-a-lose-cord-around-the-neck_1591265342594, when-the-baby-is-born-with-meconium-and-is-breathing_1591265358689, the-baby-is-born-with-thick-meconium-and-does-not-breathe_1591265372552, what-do-you-do-when-the-baby-is-born_1591265384951, just-after-the-birth-of-the-baby_1591265396508",53
