module_name,module_key,actionCards,procedures,videos,drugs,keyLearningPoints,total_resources
Gestational Diabetes Mellitus,gestational-diabetes-mellitus_1710222725035,"special-anc-for-women-with-gdm_1710251128980, bmi-calculation-and-recommended-weight-gain-in-pregnancy_1710251159763, calculation-of-energy-requirement_1710251178681, simple-and-complex-carbohydrates-selection-_1710251400302, medical-nutrition-therapy-and-meal-plan-for-gdm_1710251420250, hypoglycemia-in-women-with-gdm_1710403955416, insulin-therapy-during-labour-_1710251689823, neonatal-hypoglycemia_1710416069403, postpartum-care-of-women-with-gdm_1710251875150, pre-conception-counselling-of-diabetic-women_1710251914271","oral-glucose-tolerance-test-ogtt_1710251995392, universal-testing-for-gdm---protocol_1710404329968, blood-glucose-measurement_1710252771001, administration-of-insulin_1710252795457, administration-of-insulin-using-pen_1710404348632, capillary-blood-glucose-testing-on-newborns_1710252837380","/India english/Gestational diabetes mellitus/intro, /India english/Gestational diabetes mellitus/risk_factors, /India english/Gestational diabetes mellitus/screening_and_diagnosis, /India english/Gestational diabetes mellitus/management_of_gdm, /India english/Gestational diabetes mellitus/medical_nutrition_therapy, /India english/Gestational diabetes mellitus/medical_management, /India english/Gestational diabetes mellitus/referral, /India english/Gestational diabetes mellitus/intrapartum_care, /India english/Gestational diabetes mellitus/immediate_newborn_care, /India english/Gestational diabetes mellitus/postpartum_care","glucose-_1710418590639, insulin_1710417865598, metformin_1710417646077","gdm-is-an-excess-glucose-level-in-the-blood-with-onset-or-first-recognition-during-pregnancy-true-or-false_1710497471235, when-can-we-say-that-the-woman-has-gdm_1710497499019, which-of-the-following-are-the-possible-maternal-complications-of-gdm_1710497519089, which-of-the-following-is-a-possible-foetal-risk-of-gdm-_1710497533060, which-of-the-following-statements-are-true-regarding-gestational-diabetes-mellitus_1710497550946, which-of-the-following-are-risk-factors-of-gdm_1710497566051, a-woman-with-a-family-history-of-diabetes-has-an-increased-risk-of-developing-gdm-during-her-pregnancy-true-or-false_1710497580053, what-is-the-recommended-test-for-diagnosis-of-gdm_1710497595887, when-should-the-first-testing-for-diagnosis-of-gdm-be-done_1710497611924, when-should-the-second-test-for-diagnosis-of-gdm-be-done_1710497631118, which-of-the-following-is-true-regarding-screening-for-gdm_1710497647900, what-is-the-2-hour-blood-sugar-cut-off-value-for-the-diagnosis-of-gdm-using-the-ogtt_1710497664404, which-of-the-following-statements-are-correct-in-relation-to-ogtt_1710497676570, what-is-the-initial-management-of-a-woman-with-gdm_1710497712878, after-2-weeks-of-mnt-and-physical-exercise-the-2-hr-ppbs-of-a-gdm-woman-is-115-mgdl-what-will-be-your-recommendations-for-her_1710497734418, a-pregnant-woman-weighs-69-kg-and-her-height-is-157-cm-under-which-category-does-she-fall-based-on-her-body-mass-index-bmi_1710497748938, what-advice-should-be-given-to-the-woman-when-starting-her-on-medical-nutrition-therapy-select-all-that-is-appropriate_1710497770926, for-a-pregnant-woman-how-many-additional-calories-are-required-during-the-second-and-third-trimester_1710497794401, which-is-the-first-drug-of-choice-for-the-management-of-gdm_1710497813053, which-of-the-following-statements-are-true-in-relation-to-insulin-administration_1710497827334, which-of-the-following-statements-are-true-regarding-metformin-use-for-control-of-blood-sugar_1710497861595, which-of-the-following-statements-are-correct-regarding-antenatal-care-of-pregnant-woman-with-gdm_1710497895716, which-of-the-following-are-an-indication-for-referral-of-the-woman-with-gdm-to-a-higher-centre_1710498497829, which-of-the-following-are-the-symptoms-of-hypoglycemia-in-a-woman-with-gdm_1710498516646, when-will-you-diagnose-hypoglycemia-in-a-newborn-based-on-the-capillary-blood-glucose-level_1710498549211, which-of-the-following-steps-should-be-taken-to-manage-hypoglycemia-in-a-newborn_1710498561688, which-of-the-following-are-signs-of-hypoglycemia-in-a-newborn-select-all-that-apply_1710498591845, which-of-the-following-are-appropriate-in-relation-to-management-of-labour-and-delivery-of-a-woman-with-gdm_1710498603240, in-a-woman-with-gdm-maternal-blood-glucose-levels-usually-return-to-normal-after-delivery_1710498617797, if-a-woman-with-a-history-of-gdm-is-planning-her-next-pregnancy-what-should-be-her-desired-blood-sugar-level_1710498668892, which-of-the-following-injection-sites-can-be-used-for-self-administration-of-insulin-injection-select-all-that-apply_1710497916106, what-steps-should-be-taken-to-manage-hypoglycemia-in-a-gdm-woman_1710498531449, which-of-the-following-statements-are-false-regarding-care-of-a-newborn-of-a-woman-with-gdm_1710498576735, which-of-the-following-test-is-recommended-for-after-delivery-of-a-woman-with-gdm-to-evaluate-her-glycaemic-status_1710498647603, through-which-route-should-insulin-be-administered-daily-for-a-woman-with-gdm_1710497843307",64
Postnatal Care,postnatal-care_1708335696684,"mother_1707392875937, newborn_1707484087588","pelvic-floor-muscle-exercises_1707916177442, breastfeeding_1707321718729","/India english/Postnatal Care/intro, /India english/Postnatal Care/postnatal_care_schedule, /India english/Postnatal Care/initial_postnatal_assessment, /India english/Postnatal Care/postnatal_care_counselling, /India english/Postnatal Care/routine_postnatal_assessment_and_care, /India english/Postnatal Care/postnatal_pain_management, /India english/Postnatal Care/care_of_the_newborn, /India english/Postnatal Care/routine_assessment_of_the_newborn, /India english/Postnatal Care/newborn_care_counselling","ampicillin_1486975748548, bcg-vaccine-_1708342776189, calcium-supplementation_1699431482391, dtp-containing-vaccine-_1708343530011, gentamicin_1487679704293, hepatitis-b-vaccine-hbv-_1708343661372, ibuprofen_1490364323757, iron-and-folic-acid-supplementation_1699431493725, inactivated-polio-vaccine-ipv_1753075289125, metronidazole_1487112262252, oral-polio-vaccine-opv-_1708343038007, paracetamol_1487157304262, pentavalent-vaccine_1753078068726, pneumococcal-conjugate-_1708343922630, rotavirus-vaccine-_1708344061677","how-many-postnatal-care-visits-are-recommended-_1708338097739, when-is-the-woman-in-the-postnatal-period-_1708426438628, which-statements-are-true-regarding-partner-involvement-in-postnatal-care-_1708430570426, what-does-the-regular-assessments-of-the-mother-include-during-the-first-24-hours-after-birth_1708430664113, the-postnatal-woman-contacts-you-because-she-experiences-bleeding-after-birth-when-should-you-advise-her-to-go-to-the-hospital-_1708431210835, what-is-part-of-the-initial-postnatal-care-counselling_1708433312183, for-how-long-should-the-postnatal-woman-be-recommended-to-take-iron-in-anaemia-risk-settings-_1708433412906, what-kind-of-pain-relief-can-you-offer-the-woman-postpartum-for-perineal-pain_1708433540634, what-are-the-signs-of-postpartum-uterine-infection-_1708433641400, what-are-the-signs-of-thromboembolism_1708433758043, a-woman-comes-to-the-health-facility-with-dizziness-nausea-and-headache-three-days-postpartum-what-do-you-do-_1708434509039, what-statements-are-correct-regarding-disease-prevention-after-birth-_1708434621907, upon-discharge-when-should-you-tell-the-mother-to-react-and-contact-you-_1708434687399, newborn-feeding_1753096162996, which-of-the-following-statements-on-breastfeeding-are-true_1708435604514, how-much-weight-should-the-newborn-gain-during-the-first-2-4-weeks-_1708435704014, criteria-mother-and-newborn-discharge_1753076935478, newborn-cord-care_1753079122207, bring-newborn-to-healthcare-facility-immediately_1753097901677, what-is-the-normal-body-temperature-for-a-newborn-_1708436962803, if-a-woman-experience-breast-engorgement-what-should-you-advise-her-to-do-to-prevent-mastitis-_1708437156156, newborns-first-bath_1753089250912, danger-signs-newborn_1753090043004, what-indicates-postnatal-perineal-traumainfection_1708937721413, what-is-true-about-postpartum-blues-_1708937836407, postpartum-supplementation_1753090897347, what-is-important-to-ask-and-know-when-counselling-the-woman-on-postpartum-contraceptives-_1708950020663, which-contraceptive-methods-are-recommended-to-use-immediately-postpartum-if-the-woman-is-breastfeeding-_1708950346709, what-are-the-signs-of-an-effective-attachment-when-breastfeeding-_1708950498224, administration-of-vitamin-k1_1753091636040, what-is-true-about-hiv-infection-and-breastfeeding-_1708951024256, what-should-you-advice-and-support-the-woman-to-do-within-the-first-24-hours-after-birth-_1708951275859, what-questions-will-you-ask-a-postpartum-woman-during-the-routine-pnc-assessment_1708951398534, postnatal-visits-_1753092277129, when-should-the-mother-alert-you-regarding-the-newborn-within-the-first-24-hours-of-birth_1708952123305, newborn-vomiting_1753097521057",64
Antenatal Care,antenatal-care_1681981997823,"respectful-antenatal-care_1696493238645, nutrition-and-lifestyle_1695875701365, birth-and-emergency-plan_1696566889293, interventions-for-common-physiological-symptoms_1696567262737, violence-against-women-_1696568467142, significant-symptoms-of-antenatal-complications_1696568894140, threatened-preterm-labour_1696569397056","antenatal-care-checklist-_1696572320655, foetal-assessments_1696569981449, india---preventative-management-interventions_1710332470067, india---routine-maternal-screening-and-tests_1710336008881","/India english/Antenatal care/intro, /India english/Antenatal care/antenatal_care_schedule, /India english/Antenatal care/respectful_maternity_care, /India english/Antenatal care/first_contact_in_pregnancy, /India english/Antenatal care/routine_antenatal_assessment_of_the_woman, /India english/Antenatal care/routine_antenatal_assessment_of_the_foetus, /India english/Antenatal care/counselling","albendazole_1699431534088, ampicillin_1486975748548, betamethasone_1487080183154, calcium-supplementation_1699431482391, dexamethasone_1487101787771, folic-acid_1710246302936, gentamicin_1487679704293, iron-and-folic-acid-supplementation_1699431493725, metronidazole_1487112262252, nifedipine_1487151847555, tetanus-and-adult-diphtheria-td_1710246870552","number-of-antenatal-contacts_1699433449279, antenatal-record_1699433683776, respectful-maternity-care_1699947002198, first-contact-in-pregnancy_1699947271966, investigations-during-first-contact_1699947461729, preventive-recommendations-during-pregnancy_1699947598427, calcium-supplements-can-reduce-risk-of-pre-eclampsia_1699947714137, screening-for-pre-eclampsia_1699947862154, identification-of-woman-with-anemia_1699947957429, tocolytic-for-threatened-preterm-labour_1699948040019, screening-for-pre-eclampsia_1699948112077, screening-for-uti_1699948205907, screening-for-significant-symptoms-of-pregnancy-complications_1699948305571, listening-to-the-fetal-heart-sounds-_1699948387424, abdominal-palpation_1699948460448, recognition-of-signs-of-labour_1699948893325, management-of-anemia_1699949214472, gestational-diabetes-mellitus_1699949313905, nutrition-and-lifestyle-counselling_1699949409717, weight-gain-during-pregnancy_1699949508601, birth-and-emergency-plan_1699949592177, interventions-for-low-back-pain-and-pelvic-pain_1699949672179, interventions-for-constipation_1699950067003, interventions-for-leg-cramps_1699950198085, violence-against-women_1699951097824, identification-of-antepartum-hemorrhage_1699951246907, identification-of-venous-thromboembolism_1699951652602, foetal-assessment_1699951735571, which-of-the-following-foetal-heart-reading-indicate-foetal-asphyxia_1699951906398, malaria-prevention_1699952953751, pre-exposure-prophylaxis-for-hiv-prevention_1699953048985, preventative-anthelminthic-deworming-treatment_1699953115919, tetanus-toxoid-vaccination_1699953211343, nutritional-supplementation-and-interventions---ifa_1700396823281, nutritional-supplementation-and-interventions---ifa_1700397724994, what-is-the-risk-that-may-occur-if-the-foetus-is-cephalic-and-the-head-is-not-engaged_1701113780415, maternal-child-health-clinics-mch-_1730728689932",66
Modern Contraception,modern-contraception_1676540153643,"contraceptive-counsellingind_1757059094580, mec-wheel_1753471804213, short-acting-reversible-contraceptives-sarcs-_1756978113847, long-acting-reversible-contraceptiveslarcs_1756990932634, permanent-methods_1676626421305, timing-of-initiation-of-contraceptive-methods_1753471086557","implant-insertion_1676541142349, implant-removal_1676541152319, iudius-insertion_1676541229560, iudius-removal_1676541174121, use-of-condom_1753471435676","/India english/Modern Contraceptives module/intro, /India english/Modern Contraceptives module/counselling, /India english/Modern Contraceptives module/MEC, /India english/Modern Contraceptives module/contraceptive_methods, /India english/Modern Contraceptives module/implant_insertion, /India english/Modern Contraceptives module/implant_removal, /India english/Modern Contraceptives module/IUD_insertion, /India english/Modern Contraceptives module/ppiucd_insertion, /India english/Modern Contraceptives module/IUD_removal","combined-oral-contraceptives_1687787604662, copper-intrauterine-device-iud_1687786030235, emergency-contraceptive-pills_1687788107959, implants_1687785610286, monthly-injectables_1687786873989, centchroman-pills_1755002096819, progesterone-only-pills_1687787911453, lidocaine_1494407526870","short-acting-contraceptives-can-be-used-over-short-and-longer-periods-of-time-_1676627092925, when-used-correctly-and-consistently-male-and-female-condoms-are-the-only-contraceptives-that-can-protect-against-sexually-transmitted-infections-_1676627104079, implant-insertion--aseptic-procedure_1757136628919, if-a-woman-needs-a-new-implant-after-having-one-removed-where-can-the-new-implant-be-inserted-_1676627629783, after-inserting-the-iudius-how-long-should-you-leave-the-strings-_1676627704649, implant-insertion-hiv_1757138078073, healthy-timing-and-spacing-of-pregnancy_1757138361727, combined-oral-contraceptives-cocs_1757138867873, before-deciding-contraceptive_1757139187522, successful-counselling_1757139712917, effectiveness-of-pill_1757140143897, what-type-of-checks-needs-to-be-done-before-inserting-an-intrauterine-device-iudius-_1676628106228, which-piece-of-equipment-is-not-needed-when-inserting-an-implant-_1676628172116, which-methods-are-categorised-as-long-acting-reversible-contraceptives-_1676628255039, when-does-a-woman-not-qualify-to-get-an-iud-_1676628355453, when-can-a-women-get-an-implant-_1676628432068, iucd-380-a_1757140401338, what-should-you-recommend-the-woman-to-look-out-for-following-iudius-insertion-_1676628910467, emergency-contraceptive-pill_1757141258858, mpa--return-to-fertility_1757141503021, ppiucd--contraindication_1757142162383, which-surgical-procedures-can-be-used-to-perform-tubal-ligation-_1676629389190, asking-woman-to-choose-right-contraception-for-her_1757142859510, what-pain-relief-should-be-administered-before-inserting-a-contraceptive-implant-_1676629643547, mec--categories_1757143223937, interval-iucd-insertion_1757143660861, contraceptive-method--which-lasts-longest_1757143845490, centchroman_1757144019061, how-iucd-work_1757144242551, from-the-moment-after-performing-vasectomy-no-contraception-is-needed-to-avoid-pregnancy-true-or-false-_1676633066993, place-these-steps-of-the-non-touch-technique-while-inserting-an-iud-in-the-correct-order-_1676633102048, implant--side-effect_1757144544760, condom-benefits_1757144722674, emergency-contraception_1757145002422, ppiucd-insertion_1757145312136, what-is-the-medical-eligibility-criteria-wheel-used-for-_1676633449648",64
Perinatal Mental Health,perinatal-mental-health_1669629618366,"risk-factorscauses_1669630689917, screening_1669630707621, perinatal-mental-health-conditions_1669630736165, infant-outcomes_1669630769791, violence-against-women_1669630810222","treatment-options-ind_1753264241918, caring-for-the-carer_1670840245862, screening-tool-in_1753257339837","/India english/Perinatal Mental Health/intro, /India english/Perinatal Mental Health/risk_factors, /India english/Perinatal Mental Health/barriers_to_seeking_care, /India english/Perinatal Mental Health/diagnosis_symptoms, /India english/Perinatal Mental Health/screening, /India english/Perinatal Mental Health/prevention_and_treatment, /India english/Perinatal Mental Health/medicatons, /India english/Perinatal Mental Health/caring_for_the_carer",,"how-many-women-develop-a-mental-health-condition-during-the-perinatal-period_1671524376889, which-mental-health-condition-often-coexists-with-depression_1671525210118, what-is-the-strongest-predictor-of-a-woman-getting-perinatal-mental-health-conditions_1671525547260, symptoms-of-perinatal-mental-health-conditions-include-_1671525649046, when-should-you-screen-for-perinatal-mental-illness-_1671526112785, what-is-not-a-symptom-of-perinatal-depression-_1671526295166, what-are-the-two-different-categories-of-bipolar-disorder-_1671526655604, talking-therapycounselling-techniques-do-not-include-_1671526742095, unmanaged-maternal-depression-can-lead-to-long-term-cognitive-and-emotional-developmental-impairment-of-the-infant-true-or-false-_1671526830116, what-can-caring-for-women-and-families-with-perinatal-mental-health-conditions-lead-to-_1671526915151, puerperal-psychosis-usually-occurs-_1671527019703, how-many-partners-experience-postpartum-depression-or-anxiety-_1671527096440, what-causes-perinatal-mental-health-conditions-_1671527238709, what-are-known-risk-factors-of-developing-a-mental-health-condition-in-the-perinatal-period-_1671527491179, poverty-decreases-the-likelihood-of-women-experiencing-postpartum-depression-or-anxiety-true-or-false-_1671527596587, what-are-examples-of-useful-screening-tools-for-the-detection-of-perinatal-mental-health-conditions-_1671527699536, what-are-treatment-options-for-perinatal-depression-_1671527780237, the-provision-of-perinatal-mental-health-care-often-requires-_1671527889674, what-is-the-first-line-management-of-a-woman-who-has-screened-positive-for-perinatal-depression-_1671528072044, psychoeducation-includes-_1671528151713, what-are-not-symptoms-of-bipolar-disorder-_1671528255280, anxiety-disorders-are-a-group-of-related-conditions-that-include-_1671528369083, symptoms-of-puerperal-psychosis-include-the-rapid-onset-of-_1671528476434, infants-of-mothers-who-suffer-from-depression-have-higher-rates-of-_1671528643511, what-should-you-do-if-you-experience-negative-personal-consequences-of-caring-for-women-with-perinatal-mental-health-conditions-_1671528770971, people-with-schizophrenia-are-more-likely-to-_1671529160789, symptoms-of-general-anxiety-disorder-include-_1671529332144, people-with-anxiety-often-experience-_1671529404513, why-may-women-not-want-to-disclose-a-history-of-mental-health-conditions-_1671529488680, why-would-you-suspect-that-the-woman-has-depression-and-not-the-baby-blues-_1671529630018, talking-therapyempathetic-counselling-includes-_1671529750677, which-of-the-following-are-guiding-principles-for-clinicians-to-adapt-their-practice-into-trauma-informed-care-_1671529811310, what-percentage-of-the-population-suffer-from-schizophrenia-_1671529878693, cognitive-behavioural-therapy-cbt-aims-to-_1671529960645, put-these-three-action-principles-of-psychological-first-aid-in-the-correct-order-_1671530036631, high-levels-of-cortisol-in-the-blood-due-to-prolonged-maternal-anxiety-can-be-damaging-to-the-foetuss-_1671530135484",52
Infection Prevention,infection-prevention_1487676001934,"antibiotic-prophylaxis-_1728909100025, biomedical-waste-management_1757679891060, five-key-moments-for-hand-hygiene-_1728909404639","personal-protective-equipment-ppe-_1730102846148, preparation-of-hypochlorite-solution-_1757917797061, cleaning-storage-and-housekeeping-_1728913386434, sterilization_1757685337059, spill-management_1757684242284","/India english/Infection prevention/intro, /India english/Infection prevention/hand_hygiene, /India english/Infection prevention/personal_protective_equipment, /India english/Infection prevention/safe_reuse_of_instruments, /India english/Infection prevention/prevention_of_respiratory_infections, /India english/Infection prevention/injection_safety, /India english/Infection prevention/hiv_hepatitis_b_prevention","art-regimen_1755585183688, hepatitis-b-vaccine-hbv-_1708343661372, post-exposure-prophylaxis---pep_1490708337530, nevirapine_1757665356508, tenofovir_1757670409167","post-exposure-prophylaxis_1757931437920, antibiotic-administration-is-recommended-for-women-with-_1729781683834, infection-and-germs_1498122575522, healthcare-workers-hands_1498122780668, prevent-infections_1497356424386, hand-hygiene-wash-and-alcohol_1497356912190, when-hand-hygiene_1585567541873, handrub_1757933754412, injection-safety-_1729781144547, five-steps-to-infection-prevention-_1729783855283, no-jewellery-on-hands_1498129645819, procedure-for-handwashing_1498466869003, best-soap-for-handwashing_1757936295263, soap-wet-container_1504268064997, towel_1498130033393, decontamination-of-instruments_1757936931503, amount-of-handrub_1498468033321, sterilization_1757937308383, prevention-of-respiratory-infections-in-waiting-areas_1757937685387, prevention-of-respiratory-infections-while-coughing_1757938858949, handling-sterilized-items_1757939387198, personal-protective-equipment_1497357545527, gloves-for-birth_1498469312963, gloves-for-different-patients_1497357682494, removing-gloves_1498469162217, segregation-of-bio-medical-waste_yellow_1757939798995, segregation-of-bio-medical-waste_sharps_1757940080848, time-for-sterilization_1757940314893, spill-management_1757940682451, chemical-sterilization_1757940897658, preparation-of-05-sodium-hypochlorite-solution_1757941150635, spread-of-hiv-and-hep-b_1498132068449, hepatitis-b-prophylaxis_1757941821013, recommended-vaccination_1497358858644, nevirapine-prophylaxis_1757942062927, cleaning-and-delivery-bed_1757941477390",56
Post Abortion Care,post-abortion-care_1487676484604,"definitions_1486843717068, emergency-management_1486843944185, emergency-referral---post-abortion-care_1527679414998, post-procedure-care-and-follow-up_1754300969845, post-abortion-contraceptive-methods_1754298982128","cleaning-manual-vacuum-aspirator_1487245553833, urine-catheter_1487245590353, intravenous-access-adult-ind_1753939180867","/India english/Post abortion care/intro, /India english/Post abortion care/how_to_diagnose, /India english/Post abortion care/how_to_manage, /India english/Post abortion care/evacuation_of_the_uterus, /India english/Post abortion care/manual_vacuum_aspiration","ampicillin_1486975748548, azithromycin_1647869114016, doxycycline_1647869095132, gentamicin_1487679704293, ibuprofen_1490364323757, metronidazole_1487112262252","test-version_1498639439941, septic-abortion-_1504773307717, complication-to-unsafe-abortion_1504773499553, urine-test_1504773825842, complication-to-abortion_1504774087137, fever-and-septic-abortion_1504774293226, what-to-measure-_1504774413976, signs-of-septic-abortion_1504887365737, suspect-lower-abdominal-tenderness_1504887830839, septic-abortion-can-be-fatal_1504888032303, most-important-action-at-septic-abortion_1504889099044, action-at-septic-abortion_1504889244498, ab-and-evacuation-of-the-uterus_1504889778909, which-ab-to-give_1504889919542, urgent-management-_1504890132226, correct-order-of-actions_1504890487022, peritonitis_1504890766676, evacuation-of-the-uterus-_1504891033708, manual-vacuum-aspiration_1504891220598, uterus-size-in-week-12_1504891361270, preparation-for-mva_1504891579618, analgesic-for-mva_1504891713356, valves-closed_1504891839206, vacuum-to-mva-syringe_1504891916767, tenaculum_1504892022670, dilate-the-cervix_1504892212948, no-touch-technique_1504892332161, size-of-cannula-for-mva_1504893593707, insert-of-the-cannula_1504893750649, attachment-of-the-syringe_1504893864011, rotate-and-move-cannula-back-and-forth_1504893996349, end-of-suctioning_1504894096498, use-the-cannula-again_1504894223366, monitoring-after-mva_1753959862659, counselling_1504894423681, advise-before-dismission_1504894568322",55
Hypertension,hypertension_1487677992452,"definitions_1486814136250, management-hypertension_1486815930026, management-of-eclampsia-ind_1756384312039, emergency-referral---hypertension_1527674369336, antenatal-corticosteroid-therapy_1756280125819","intramuscular-injection-im-_1712143699749, intravenous-access-adult-ind_1753939180867, urine-catheter_1487245590353","/India english/Hypertension/intro, /India english/Hypertension/definitions, /India english/Hypertension/causes, /India english/Hypertension/how_to_diagnose, /India english/Hypertension/management_of_hypertension, /India english/Hypertension/severe_preeclampsia_eclampsia","methyldopa_1487111904464, betamethasone_1487080183154, calcium-gluconate_1490273124941, dexamethasone_1487101787771, hydralazine_1487109388353, labetalol_1490625535572, lidocaine_1494407526870, magnesium-sulphate_1487111473832, nifedipine_1487151847555","gestational-hypertension_1498725687229, preeclampsia_1498726056310, severe-preeclampsia_1498640805283, proteinuria_1505054086730, severely-elevated-blood-pressure_1498726396275, severe-headache_1498726747222, visual-disturbances_1498727185096, upper-abdominal-pain_1498727830882, antidote-administration-_1756468044755, dose-of-inj-labetalol_1756468553523, eclampsia_1498728592426, eclampsia-normal-blood-pressure_1498728833764, confirmed-elevated-bp-_1756468894789, causes-of-pre-eclampsia_1498729147494, cure-of-pre-eclampsia_1505055063577, anc-blood-pressure_1498729463504, confirm-bp_1498732684396, confirmed-elevated-bp_1498733012381, keep-systolic-bp-below-160_1498733307152, prevention-of-htn-during-pregnancy_1756466880133, we-start-antihypertensive-drugs_1756469448889, labetalol_1498733591134, methyldopa_1498733669777, iv-with-bp-above-160-_1498733752579, hydralazine_1498733943552, eclampsia-seizures_1498734086062, severe-pre-eclampsia-or-eclampsia_1498734362115, action-eclampsia_1505059069497, fluid-overload_1505059297071, eclampsia---monitor-12-hour_1498735362891, give-magnesium-sulphate_1498735437004, toxicity_1498735622169, calcium-gluconate_1505059639547, maintain-dose-magnesium-sulphate_1498735869673, refer-and-eclampsia_1498735994297, lung-maturity_1498736081492",59
Normal Labour and Birth,normal-labour-and-birth_1591261731571,partograph-ind_1757583886010,"initial-assessment_1591607594553, calculate-due-date-and-ga-_1591608714797, abdominal-examination-_1591608971713, foetal-heart-rate_1487245616159, vaginal-examination_1591619208367","/India english/Normal labour and birth/intro, /India english/Normal labour and birth/respectful_care, /India english/Normal labour and birth/initial_assessment, /India english/Normal labour and birth/1st_stage_latent_phase, /India english/Normal labour and birth/1st_stage_active_phase, /India english/Normal labour and birth/partograph, /India english/Normal labour and birth/supportive_care, /India english/Normal labour and birth/2nd_stage_cervix_fully_dilated, /India english/Normal labour and birth/2nd_stage_delivering_the_baby","misoprostol_1487112562173, oxytocin_1487156988152","the-definition-of-a-normal-birth_1591262098315, a-child-born-in-week-36_1591262929871, start-of-a-spontaneous-normal-birth_1591263015279, what-is-respectful-care_1591263054900, fear-of-being-mistreated_1591263086625, -the-elements-of-true-respectful-care_1591263697768, the-first-thing-you-do_1591263789873, what-kind-of-danger-signs-should-be-examined_1591263871370, when-is-her-due-date_1591263922616, strong-contractions-5-6-minutes-apart_1591264352707, abdominal-examination_1591264446830, when-performing-a-ve_1591264522362, good-contractions-with-3-minutes-apart_1591264728966, the-documentation-on-the-partograph_1591264765702, first-component-to-be-plot_1756898899874, help-the-woman-to-get-good-contractions_1591264824519, when-the-woman-wants-to-stand-up_1591264852797, the-woman-cannot-eat-or-drink-during-labour-and-birth_1591264872529, when-the-woman-is-in-an-upright-position_1591264988470, to-be-on-all-fours-and-give-birth_1591265006882, non-pharmacological-pain-relief_1591265044680, the-woman-can-push-when_1591265061690, what-needs-to-be-ready-for-the-birth_1591265072119, what-should-you-do-during-the-second-stage_1591265085908, how-would-you-help-the-woman-to-push_1591265236457, the-woman-can-give-birth-in-any-position-she-wants_1591265249333, what-kind-of-practices-should-not-be-performed_1591265261984, before-the-babys-head-is-about-to-be-born_1591265282391, when-the-babys-head-is-crowning_1591265293618, after-the-head-is-born_1591265308433, if-the-head-and-the-shoulders-are-not-born-in-one-contraction_1591265330908, if-you-feel-a-lose-cord-around-the-neck_1591265342594, when-the-baby-is-born-with-meconium-and-is-breathing_1591265358689, partograph_1756898642357, what-do-you-do-when-the-baby-is-born_1591265384951, delivery-of-the-shoulders_1756897883638",53
Active Management of Third Stage Labour and Initial Care of the Newborn,active-management-of-third-stage-labour_1487678773861,"essential-steps-for-amtsl_1511870675743, initial-care---india_1545297960971, emergency-referral---manual-removal-of-placenta-ind_1753953821181",breastfeeding-ind_1753951821732,"/India english/Active management of third stage labour/intro, /India english/Active management of third stage labour/give_a_uterotonic_drug, /India english/Active management of third stage labour/assess_the_newborn, /India english/Active management of third stage labour/clamp_and_cut_the_umbilical_cord, /India english/Active management of third stage labour/controlled_cord_traction, /India english/Active management of third stage labour/uterine_massage, /India english/Active management of third stage labour/examine_the_placenta, /India english/Active management of third stage labour/monitoring, /India english/Active management of third stage labour/early_breastfeeding","misoprostol_1487112562173, oxytocin_1487156988152, vitamin-k_1487160613336","active-management_1499780658036, uterotonic-drug_1499780861769, oxytocin_1499780939312, dose-of-oxytocin_1499781138851, when-to-give-oxytocin_1499781203804, storage-of-oxytocin_1499781280757, misoprostol_1499781426287, administration-of-misoprostol_1499781506837, when-to-assess-the-newborn_1499781574406, thick-meconium_1499782019890, suction-thick-meconium_1499782064819, dry-of-the-baby_1499782139883, warm-baby_1499782287277, newborn-not-breathing-well_1499782350880, stable-newborn_1499782411878, clamp-umbilical-cord_1499782532294, cord-traction_1499782592747, counter-pressure-pubic-bone_1499782667213, rounded-uterus_1499782790928, push-for-the-placenta_1499782842943, check-uterus_1499782915737, measure-blood-loss_1499783000460, examine-the-placenta_1499783053169, maternal-surface-of-placenta_1499783139366, no-unattended-mother-and-newborn_1499783196382, skin-to-skin-contact_1499783293686, check-mother-after-birth_1499783355207, how-often-check-mother_1499783434630, how-often-check-newborn_1499783488277, check-the-newborn-after-birth_1499783546639, cord-monitor_1499783616183, eye-drop-and-vit-k_1499783708999, early-breastfeeding-newborn_1499783782397, early-breastfeeding-mother_1499783921892, delivery-of-membranes_1504531639638, estimation-of-blood-loss_1504531689289",52
